waste_processor_id,authority,authority_id,period,period_id,waste_stream_type_id,waste_stream_type,facility_type_id,facility_type,national_facility_id,facility_name,facility_postCode,total_tonnes,tonnes_by_material,material_group,material_id,material
6311960,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",3232,"U R M ( U K ) Limited ","WF9 3NR",515.52,515.52,"Glass",6,"Mixed glass"
6311961,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,23.62,23.62,"Tyres",53,"Car tyres"
6311962,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,0,0,"",0,
6311963,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,0,0,"",0,
6311964,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,1,1,"Oil",30,"Vegetable Oil"
6311965,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,"RM18 7HB",805.96,805.96,"Wood",19,Wood
6311965,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",6,"RDF, autoclave, MHT or similar",7932,Other/Exempt,"RM18 7HB",201.5,201.5,"Wood",19,Wood
6311966,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,39.01,29.62,"Textiles",15,"Textiles & footwear"
6311966,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,39.01,9.39,"Other Materials",60,Bric-a-brac
6311967,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,3,3,"Oil",31,"Mineral Oil"
6311968,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",14262,"Three Shires Waste Recycling Ltd","LU4 9DZ",35.76,35.76,"Plasterboard",58,Plasterboard
6311969,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",23159,"G&P Batteries Ltd","G40 2PZ",8.3,8.3,"Batteries",28,"Automotive batteries"
6311970,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",23581,"Morris & Co Handlers Ltd","DN11 0PS",179.08,179.08,"Metal",11,"Steel cans"
6311971,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",23931,"Environcom England Ltd","NG31 7UH",12.24,12.24,"WEEE",48,"WEEE - Large Domestic App"
6311972,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",31125,"Novelis UK Ltd","WA4 1NN",3.7,3.7,"Metal",12,"Aluminium cans"
